-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
阗        tian      ufhw      TLLO      9617      E3D9      13        门        4251225111134
阘        ta        ujnd      TLYY      9618      EA60      13        门        4252511541541
阙        que       uubw      TLZR      9619      E3DA      13        门        4254315233534
阚        kan       unbt      TLCM      961A      E3DB      14        门        42551221113134
阛        huan      ulge      TLJR      961B      EA61      16        门        4252522112513534
阜        fu        wnnf      MYED      961C      B8B7      8         阜        32515112
阝        zuo       bnh       YAAA      961D      DAE2      2         阝        52
阞        le        bln       YYM       961E      EA62      4         阝        5253
队        dui       bwy       YOD       961F      B6D3      4         阝        5234
阠        xin       bnfh      YYED      9620      EA63      5         阝        52512
阡        qian      btfh      YME       9621      DAE4      5         阝        52312
阢        wu        bgqn      YGR       9622      DAE3      5         阝        52135
阣        yi        btnn      YMYD      9623      EA64      5         阝        52315
阤        zhi       bbn       YYI       9624      EA65      5         阝        52525
阥        yin       biy       YKV       9625      EA66      6         阝        522534
阦        yang      boy       YUO       9626      EA67      6         阝        524334
阧        dou       bufh      YTED      9627      EA68      6         阝        524412
阨        e         bdbn      YGYY      9628      EA69      6         阝        521355
阩        sheng     btah      YME       9629      EA6A      6         阝        523132
阪        ban       brcy      YPXS      962A      DAE6      6         阝        523354
阫        pei       bgiy      YGI       962B      EA6B      6         阝        521324
阬        keng      bymn      YSQD      962C      EA6C      6         阝        524135
阭        yun       bcqn      YZRD      962D      EA6D      6         阝        525435
阮        ruan      bfqn      YBRD      962E      C8EE      6         阝        521135
阯        zhi       bhg       YII       962F      EA6E      6         阝        522121
阰        pi        bxxn      YRRR      9630      EA6F      6         阝        521535
阱        jing      bfjh      YBND      9631      DAE5      6         阝        521132
防        fang      byn       YSY       9632      B7C0      6         阝        524153
阳        yang      bjg       YKVV      9633      D1F4      6         阝        522511
阴        yin       beg       YQVV      9634      D2F5      6         阝        523511
阵        zhen      blh       YHE       9635      D5F3      6         阝        521512
阶        jie       bwjh      YOND      9636      BDD7      6         阝        523432
阷        cheng     bghg      YAII      9637      EA70      7         阝        5212121
阸        e         bynn      YWYD      9638      EA71      7         阝        5245135
阹        qu        bfcy      YBZS      9639      EA72      7         阝        5212154
阺        di        bqag      YRS       963A      EA73      7         阝        5235154
阻        zu        begg      YLC       963B      D7E8      7         阝        5225111
阼        zuo       bthf      YMID      963C      DAE8      7         阝        5231211
阽        dian      bhkg      YIJ       963D      DAE7      7         阝        5221251
阾        ling      bwyc      YOW       963E      EA74      7         阝        5234454
阿        a         bskg      YAJ       963F      B0A2      7         阝        5212512
陀        tuo       bpxn      YWRR      9640      CDD3      7         阝        5244535
陁        zhi       btbn      YMYI      9641      EA75      7         阝        5231525
陂        bei       bhcy      YXI       9642      DAE9      7         阝        5253254
陃        bing      bgmw      YALO      9643      EA76      7         阝        5212534
附        fu        bwfy      YNDS      9644      B8BD      7         阝        5232124
际        ji        bfiy      YBK       9645      BCCA      7         阝        5211234
陆        lu        bfmh      YBZI      9646      C2BD      7         阝        5211252
陇        long      bdxn      YGM       9647      C2A4      7         阝        5213534
陈        chen      baiy      YHKO      9648      B3C2      7         阝        5215234
陉        xing      bcag      YXBI      9649      DAEA      7         阝        5254121
陊        duo       bqqy      YRRS      964A      EA77      8         阝        52354354
陋        lou       bgmn      YZLO      964B      C2AA      8         阝        52125345
陌        mo        bdjg      YANK      964C      C4B0      8         阝        52132511
降        jiang     btah      YRMB      964D      BDB5      8         阝        52354152
陎        shu       briy      YMKO      964E      EA78      8         阝        52311234
陏        sui       bdeg      YGQ       964F      EA79      8         阝        52132511
限        xian      bvey      YXO       9650      CFDE      8         阝        52511534
陑        er        bdmj      YGL       9651      EA7A      8         阝        52132522
陒        gui       bqdb      YRGY      9652      EA7B      8         阝        52351355
陓        yu        bdfn      YGBZ      9653      EA7C      8         阝        52134115
陔        gai       bynw      YSZO      9654      DAEB      8         阝        52415334
陕        shan      bguw      YBUO      9655      C9C2      8         阝        52143134
陖        jun       bcwt      YZOR      9656      EA7D      9         阝        525434354
陗        qiao      bieg      YKQ       9657      EA7E      9         阝        522432511
陘        xing      bgva      YHBI      9658      EA80      9         阝        521555121
陙        chun      bdfe      YGH       9659      EA81      9         阝        521311534
陚        wu        bgah      YAHI      965A      EA82      10        阝        5211212154
陛        bi        bxxf      YRRB      965B      B1DD      9         阝        521535121
陜        xia       bdty      YGOO      965C      EA83      9         阝        521343434
陝        shan      bdty      YGOO      965D      EA84      9         阝        521343434
陞        sheng     btaf      YMEB      965E      EA85      9         阝        523132121
陟        zhi       bhit      YIKO      965F      DAEC      9         阝        522121233
陠        pu        bgey      YFB       9660      EA86      9         阝        521251124
陡        dou       bfhy      YBO       9661      B6B8      9         阝        521212134
院        yuan      bpfq      YWBR      9662      D4BA      9         阝        524451135
陣        zhen      blh       YFK       9663      EA87      9         阝        521251112
除        chu       bwty      YOMF      9664      B3FD      9         阝        523411234
陥        xian      bqhj      YRIK      9665      EA88      9         阝        523522511
陦        dao       bdtf      YCDS      9666      EA89      9         阝        521113124
陧        nie       bjfg      YKB       9667      DAED      9         阝        522511121
陨        yun       bkmy      YJLO      9668      D4C9      9         阝        522512534
险        xian      bwgi      YOBV      9669      CFD5      9         阝        523414431
陪        pei       bukg      YSJ       966A      C5E3      10        阝        5241431251
陫        pei       bdjd      YKC       966B      EA8A      10        阝        5221112111
陬        zou       bbcy      YCXS      966C      DAEE      10        阝        5212211154
陭        yi        bdsk      YGAJ      966D      EA8B      10        阝        5213412512
陮        dui       bwyg      YNI       966E      EA8C      10        阝        5232411121
陯        lun       bwga      YOAL      966F      EA8D      10        阝        5234125122
陰        yin       bwgc      YOBZ      9670      EA8E      10        阝        5234451154
陱        ju        bqoy      YRUF      9671      EA8F      10        阝        5235431234
陲        chui      btgf      YMEB      9672      DAEF      10        阝        5231212211
陳        zhen      bgji      YFK       9673      EA90      10        阝        5212511234
陴        pi        brtf      YNED      9674      DAF0      10        阝        5232511312
陵        ling      bfwt      YBOR      9675      C1EA      10        阝        5212134354
陶        tao       bqrm      YREZ      9676      CCD5      10        阝        5235311252
陷        xian      bqvg      YRNB      9677      CFDD      10        阝        5235321511
陸        lu        bfqf      YBOB      9678      EA91      10        阝        5212134121
陹        sheng     btaj      YMEK      9679      EA92      10        阝        5231322511
険        xian      bwgw      YOJO      967A      EA93      10        阝        5234125134
陻        yin       bsfg      YFB       967B      EA94      11        阝        52125221121
陼        zhu       bftj      YBM       967C      EA95      10        阝        5212132511
陽        yang      bjgr      YKRO      967D      EA96      11        阝        52251113533
陾        reng      bdmd      YGGD      967E      EA97      11        阝        52132522134
陿        xia       badw      YHOO      967F      EA98      11        阝        52113434345
隀        chong     btgf      YMKB      9680      EA99      11        阝        52312511211
隁        yan       bajv      YHKZ      9681      EA9A      11        阝        52125115315
隂        yin       bwdy      YOCH      9682      EA9B      11        阝        52341211154
隃        yu        bwgj      YOQK      9683      EA9C      11        阝        52341251122
隄        di        bjgh      YKAI      9684      EA9D      11        阝        52251112134
隅        yu        bjmy      YKLZ      9685      D3E7      11        阝        52251125214
隆        long      btgg      YRAM      9686      C2A1      11        阝        52354131121
隇        wei       bdgt      YHAZ      9687      EA9E      11        阝        52131531534
隈        wei       blge      YKH       9688      DAF1      11        阝        52251211534
隉        nie       bvag      YNBI      9689      EA9F      11        阝        52321511121
隊        zhui      buey      YUGQ      968A      EAA0      11        阝        52431353334
隋        sui       bdae      YGBQ      968B      CBE5      11        阝        52131212511
隌        an        bujg      YSK       968C      EB40      11        阝        52414312511
隍        huang     brgg      YNC       968D      DAF2      11        阝        52325111121
階        jie       bxxr      YRRN      968E      EB41      11        阝        52153532511
随        sui       bdep      YWGQ      968F      CBE6      11        阝        52132511454
隐        yin       bqvn      YRXW      9690      D2FE      11        阝        52355114544
隑        qi        bmgu      YLJU      9691      EB42      12        阝        522521251431
隒        yan       buvo      YUXK      9692      EB43      12        阝        524315112234
隓        hui       bdaa      YGGB      9693      EB44      12        阝        521312113121
隔        ge        bgkh      YAJL      9694      B8F4      12        阝        521251254312
隕        yun       bkmy      YJLO      9695      EB45      12        阝        522512511134
隖        wu        btno      YRZA      9696      EB46      12        阝        523251154444
隗        wei       brqc      YNJ       9697      DAF3      11        阝        52325113554
隘        ai        buwl      YUOL      9698      B0AF      12        阝        524313425221
隙        xi        biji      YKKK      9699      CFB6      12        阝        522342511234
隚        tang      bipf      YKJB      969A      EB47      13        阝        5224345251121
際        ji        bwfi      YRBK      969B      EB48      13        阝        5235445411234
障        zhang     bujh      YSKE      969C      D5CF      13        阝        5241431251112
隝        dao       btno      YRZ       969D      EB49      13        阝        5232511154444
隞        ao        bfyt      YCYM      969E      EB4A      12        阝        521121533134
隟        xi        bvjs      YZKF      969F      EB4B      13        阝        5255525111234
隠        yin       bevn      YPXW      96A0      EB4C      13        阝        5234435114544
隡        sa        byrg      YSMM      96A1      EB4D      13        阝        5241431331121
隢        rao       bffq      YBBG      96A2      EB4E      14        阝        52121121121135
隣        lin       boqh      YURM      96A3      EB4F      14        阝        52431234354152
隤        tui       bkhm      YJAL      96A4      EB50      14        阝        52251212511134
隥        deng      bwgu      YXJU      96A5      EB51      14        阝        52543341251431
隦        pi        bnku      YXJS      96A6      EB52      15        阝        525132514143112
隧        sui       buep      YWUG      96A7      CBED      14        阝        52431353334454
隨        sui       bdap      YWBQ      96A8      EB53      14        阝        52131212511454
隩        yu        btmd      YNUG      96A9      EB54      14        阝        52325431234134
險        yan       bwgw      YOOO      96AA      EB55      15        阝        523412512513434
隫        fen       bfam      YEEL      96AB      EB56      14        阝        52121222511134
隬        ni        bgwq      YAOO      96AC      EB57      16        阝        5213425234343434
隭        er        bfdj      YFGL      96AD      EB58      16        阝        5214524444132522
隮        ji        byuh      YSRN      96AE      EB59      16        阝        5241432533543211
隯        dao       bfnf      YBJD      96AF      EB5A      16        阝        5212151211251124
隰        xi        bjxo      YKZU      96B0      DAF4      16        阝        5225115545544444
隱        yin       bean      YPXW      96B1      EB5B      16        阝        5234431215114544
隲        zhi       bitc      YKMC      96B2      EB5C      16        阝        5223431211254444
隳        hui       bdan      YGOU      96B3      E3C4      17        阝        52131212511342444
隴        long      bued      YSI       96B4      EB5D      19        阝        5241431251121515111
隵        xi        bhaa      YIUH      96B5      EB5E      19        阝        5221531512514311534
隶        li        vii       XBKV      96B6      C1A5      8         隶        51124134
隷        li        ffii      BBXK      96B7      EB5F      16        隶        1211123451124134
隸        li        sfii      FBXK      96B8      EB60      17        隸        12341123451124134
隹        zhui      wyg       NI        96B9      F6BF      8         隹        32411121
隺        que       pwyd      WWNI      96BA      EB61      10        隹        4532411121
隻        zhi       wycu      NIXS      96BB      EB62      10        隹        3241112154
隼        sun       wyfj      NIED      96BC      F6C0      10        隹        3241112112
隽        jun       wyeb      NIYM      96BD      F6C1      10        隹        3241112153
难        nan       cwyg      XSNI      96BE      C4D1      10        隹        5432411121
隿        yi        awyg      HSNI      96BF      EB63      11        隹        15432411121
雀        que       iwyf      KONI      96C0      C8B8      11        隹        23432411121
雁        yan       dwwy      GGNN      96C1      D1E3      12        隹        133232411121
雂        qin       wgny      ODXN      96C2      EB64      12        隹        344532411121
雃        qian      gawg      AENI      96C3      EB65      12        隹        113232411121
雄        xiong     dcwy      GDZN      96C4      D0DB      12        隹        135432411121
雅        ya        ahty      HINI      96C5      D1C5      12        隹        152332411121
集        ji        wysu      NIF       96C6      BCAF      12        隹        324111211234
雇        gu        ynwy      WMNI      96C7      B9CD      12        隹        451332411121
雈        huan      awyf      IAIN      96C8      EB66      12        隹        212132411121
雉        zhi       tdwy      MANI      96C9      EFF4      13        隹        3113432411121
雊        gou       qkwy      RYJN      96CA      EB67      13        隹        3525132411121
雋        zui       wyeb      NIIY      96CB      EB68      12        隹        324111212525
雌        ci        hxwy      IIRN      96CC      B4C6      14        隹        21213532411121
雍        yong      yxty      SZZN      96CD      D3BA      13        隹        4155332411121
雎        ju        egwy      LCNI      96CE      F6C2      13        隹        2511132411121
雏        chu       qvwy      RXNI      96CF      B3FB      13        隹        3551132411121
雐        hu        hawy      IHNI      96D0      EB69      14        隹        21531532411121
雑        za        vswy      QYFN      96D1      EB6A      14        隹        35123432411121
雒        luo       tkwy      RSJN      96D2      F6C3      14        隹        35425132411121
雓        yu        wtwy      ODMN      96D3      EB6B      15        隹        341123432411121
雔        chou      wywy      NINI      96D4      EB6C      16        隹        3241112132411121
雕        diao      mfky      LDJN      96D5      B5F1      16        隹        3512125132411121
雖        sui       kjwy      JINI      96D6      EB6D      17        隹        25125121432411121
雗        han       fjwy      EDON      96D7      EB6E      18        隹        122511123432411121
雘        wo        myac      QSNX      96D8      EB6F      17        隹        35411223241112154
雙        shuang    wywc      NINX      96D9      EB70      18        隹        324111213241112154
雚        huan      akky      EJJN      96DA      EB71      17        隹        12225125132411121
雛        ju        qbty      RYZN      96DB      EB72      18        隹        355233552332411121
雜        za        ywwy      SOFN      96DC      EB73      18        隹        413434123432411121
雝        yong      vkcy      ZDYN      96DD      EB74      18        隹        555251521532411121
雞        ji        exdy      PVGN      96DE      EB75      18        隹        344355413432411121
雟        xi        btwk      ZINL      96DF      EB76      18        隹        523324111212534251
雠        chou      wyyy      NISN      96E0      F6C5      18        隹        324111214532411121
雡        liu       nwey      YTPN      96E1      EB77      19        隹        5415413433332411121
離        li        ybmy      SOZN      96E2      EB78      18        隹        413452255432411121
難        nuo       akfy      EAON      96E3      EB79      19        隹        1221251113432411121
雤        xue       wfqy      NBON      96E4      EB7A      21        隹        321134345114532411121
雥        za        wywy      NINN      96E5      EB7B      24        隹        324111213241112132411121
雦        ji        wywy      NINN      96E6      EB7C      24        隹        324111213241112132411121
雧        ji        wyws      NINF      96E7      EB7D      28        隹        3241112132411121324111211234
雨        yu        fghy      FV        96E8      D3EA      8         雨        12524444
雩        yu        ffnb      FVBZ      96E9      F6A7      11        雨        14524444115
雪        xue       fvf       FVXB      96EA      D1A9      11        雨        14524444511
雫        na        fghu      FVAI      96EB      EB7E      11        雨        14524444124
雬        fou       fsu       FVF       96EC      EB80      12        雨        145244441234
雭        xi        feyu      FVMS      96ED      EB81      11        雨        14524444354
雮        mu        ftfn      FVMH      96EE      EB82      12        雨        145244443115
雯        wen       fyu       FVSO      96EF      F6A9      12        雨        145244444134
雰        fen       fwvb      FVOY      96F0      EB83      12        雨        145244443453
雱        pang      fyb       FVSY      96F1      EB84      12        雨        145244444153
雲        yun       ffcu      FVBZ      96F2      EB85      12        雨        145244441154
雳        li        fdlb      FVGY      96F3      F6A8      12        雨        145244441353
雴        chi       fuf       FVSU      96F4      EB86      13        雨        1452444441431
雵        yang      fmdu      FVLG      96F5      EB87      13        雨        1452444425134
零        ling      fwyc      FVOW      96F6      C1E3      13        雨        1452444434454
雷        lei       flf       FVKI      96F7      C0D7      13        雨        1452444425121
雸        an        faff      FVEB      96F8      EB88      13        雨        1452444412211
雹        bao       fqnb      FVRY      96F9      B1A2      13        雨        1452444435515
雺        wu        fcbt      FVIM      96FA      EB89      13        雨        1452444454523
電        dian      fjnb      FVKZ      96FB      EB8A      13        雨        1452444425115
雼        dang      fdf       FVG       96FC      EB8B      13        雨        1452444413251
雽        hu        ftuh      FVMU      96FD      EB8C      13        雨        1452444434312
雾        wu        ftlb      FVRY      96FE      CEED      13        雨        1452444435453
雿        diao      fiqb      FVVR      96FF      EB8D      14        雨        14524444341534
需        xu        fdmj      FVGL      9700      D0E8      14        雨        14524444132522
霁        ji        fyjj      FVSN      9701      F6AB      14        雨        14524444413432
霂        mu        fisu      FVVF      9702      EB8E      15        雨        145244444411234
霃        chen      fipq      FVWR      9703      EB8F      15        雨        145244444414535
霄        xiao      fief      FVKQ      9704      CFF6      15        雨        145244442432511
霅        zha       fyf       FVS       9705      EB90      15        雨        145244444111251
霆        ting      ftfp      FVMB      9706      F6AA      14        雨        14524444312154
震        zhen      fdfe      FVGH      9707      D5F0      15        雨        145244441311534
霈        pei       figh      FVAL      9708      F6AC      15        雨        145244444411251
霉        mei       ftxu      FVMZ      9709      C3B9      15        雨        145244443155414
霊        ling      ffog      FVBK      970A      EB91      15        雨        145244441122431
霋        qi        fgvv      FVXZ      970B      EB92      16        雨        1452444415112531
霌        zhou      fmfk      FVBJ      970C      EB93      16        雨        1452444435121251
霍        huo       fwyf      FVNI      970D      BBF4      16        雨        1452444432411121
霎        sha       fuvf      FVSZ      970E      F6AE      16        雨        1452444441431531
霏        fei       fdjd      FVKC      970F      F6AD      16        雨        1452444421112111
霐        hong      fixc      FVYZ      9710      EB94      16        雨        1452444444151554
霑        zhan      fihk      FVIJ      9711      EB95      16        雨        1452444444121251
霒        yin       ffcn      FVSX      9712      EB96      16        雨        1452444411543445
霓        ni        fvqb      FVNR      9713      C4DE      16        雨        1452444432151135
霔        zhu       fiyg      FVSC      9714      EB97      16        雨        1452444444141121
霕        tun       ffcn      FVHZ      9715      EB98      16        雨        1452444411541525
霖        lin       fssu      FVFF      9716      C1D8      16        雨        1452444412341234
霗        ling      fiwc      FVOW      9717      EB99      16        雨        1452444444134454
霘        dong      fimk      FVVL      9718      EB9A      17        雨        14524444441251251
霙        ying      famd      FVLG      9719      EB9B      16        雨        1452444412225134
霚        wu        fcbt      FVMM      971A      EB9C      17        雨        14524444545233134
霛        ling      fxxx      FVYY      971B      EB9D      17        雨        14524444515515515
霜        shuang    fshf      FVFL      971C      CBAA      17        雨        14524444123425111
霝        ling      fkkk      FVJJ      971D      EB9E      17        雨        14524444251251251
霞        xia       fnhc      FVXX      971E      CFBC      17        雨        14524444512115154
霟        hong      fiaw      FVEO      971F      EB9F      17        雨        14524444441122134
霠        yin       fuwn      FVSX      9720      EBA0      17        雨        14524444414313445
霡        mai       feyi      FVQS      9721      EC40      17        雨        14524444351145534
霢        mai       fere      FVPR      9722      EC41      18        雨        145244443511333534
霣        yun       fkmu      FVJL      9723      EC42      18        雨        145244442512511134
霤        liu       fqyl      FVYK      9724      EC43      18        雨        145244443545325121
霥        meng      fpge      FVAG      9725      EC44      18        雨        145244444511353334
霦        bin       fsse      FVFP      9726      EC45      19        雨        1452444412341234333
霧        wu        fcbl      FVRY      9727      EC46      18        雨        145244445452335453
霨        wei       fnff      FVBD      9728      EC47      19        雨        1452444451311234124
霩        kuo       fybb      FVYY      9729      EC48      18        雨        145244444125152152
霪        yin       fief      FVMB      972A      F6AF      19        雨        1452444444134433121
霫        xi        fnrf      FVYN      972B      EC49      19        雨        1452444454154132511
霬        yi        flaw      FVEO      972C      EC4A      19        雨        1452444425121122134
霭        ai        fyjn      FVKR      972D      F6B0      19        雨        1452444445251135345
霮        dan       fian      FVEZ      972E      EC4B      20        雨        14524444441122111345
霯        teng      fwgu      FVJU      972F      EC4C      20        雨        14524444543341251431
霰        xian      faet      FVQM      9730      F6B1      20        雨        14524444122125113134
霱        yu        dcbk      FVML      9731      EC4D      20        雨        14524444545232534251
露        lu        fkhk      FVRJ      9732      C2B6      21        雨        145244442512121354251
霳        long      fbtg      FVAM      9733      EC4E      19        雨        1452444452354131121
霴        dai       ffci      FVXK      9734      EC4F      20        雨        14524444115451124134
霵        ji        fkba      FVCH      9735      EC50      20        雨        14524444251122111534
霶        pang      fiuy      FVWS      9736      EC51      21        雨        145244444414143454153
霷        yang      fjjr      FVRO      9737      EC52      21        雨        145244442511251113533
霸        ba        fafe      FVEQ      9738      B0D4      21        雨        145244441221251123511
霹        pi        fnku      FVJS      9739      C5F9      21        雨        145244445132514143112
霺        wei       ftmt      FVQM      973A      EC53      21        雨        145244443322521353134
霻        uu        fmau      FVJU      973B      EC54      21        雨        145244442512211251431
霼        xi        ffco      FVZM      973C      EC55      22        雨        1452444411543115431234
霽        ji        fyuh      FVRN      973D      EC56      22        雨        1452444441432533543211
霾        mai       feef      FVKB      973E      F6B2      22        雨        1452444434435332511211
霿        wu        fcbh      FVRL      973F      EC57      21        雨        145244445452335425111
靀        meng      fape      FVAG      9740      EC58      21        雨        145244441224511353334
靁        lei       flll      FVKK      9741      EC59      23        雨        14524444251212512125121
靂        li        fdlb      FVMI      9742      EC5A      24        雨        145244441331234312342121
靃        suo       fwyy      FVNN      9743      EC5B      24        雨        145244443241112132411121
靄        ai        fyjn      FVKR      9744      EC5C      24        雨        145244444111251251135345
靅        fei       ffcm      FVNL      9745      EC5D      24        雨        145244441154515322511134
靆        dai       fcvp      FVXK      9746      EC5E      23        雨        14524444115451124134454
靇        long      fued      FVSI      9747      EC5F      24        雨        145244444143125111515111
靈        ling      fkkw      FVOO      9748      EC60      24        雨        145244442512512511234341
靉        yi        fcec      FVWR      9749      EC61      25        雨        1452444411543443454544354
靊        feng      fmdu      FVCI      974A      EC62      26        雨        14524444111221112521251431
靋        li        fidh      FVMI      974B      EC63      27        雨        145244444411331234312342121
靌        bao       fpgm      FVKL      974C      EC64      27        雨        145244444451121352342511134
靍        he        fwyo      FVNR      974D      EC65      27        雨        145244443241112132511154444
靎        he        fqto      FVPR      974E      EC66      27        雨        145244443411243132511154444
靏        he        fpwo      FVNR      974F      EC67      29        雨        14524444453241112132511154444
靐        bing      flfl      FVFK      9750      EC68      39        雨        145244442512114524444251211452444425121
靑        qing      gmhg      CIQ       9751      EC69      8         靑        11212521
青        qing      gef       CIQ       9752      C7E0      8         青        11212511
靓        liang     gemq      CIQL      9753      F6A6      12        青        112125112535
靔        tian      gern      CIQM      9754      EC6A      12        青        112125113115
靕        zhen      ghge      AICQ      9755      EC6B      13        青        1212111212511
靖        jing      ugeg      SUCQ      9756      BEB8      13        青        4143111212511
靗        cheng     geiq      CIKG      9757      EC6C      14        青        11212511243135
靘        qing      geqc      CIRY      9758      EC6D      14        青        11212511355215
静        jing      geqh      CIRX      9759      BEB2      14        青        11212511355112
靚        liang     gehq      CIQL      975A      EC6E      15        青        112125112511135
靛        dian      geph      CIQW      975B      B5E5      16        青        1121251144512134
靜        jing      geeh      CIPX      975C      EC6F      16        青        1121251134435112
靝        tian      gero      CIQM      975D      EC70      18        青        112125113115431234
非        fei       djdd      KC        975E      B7C7      8         非        21112111
靟        fei       djdn      KCMH      975F      EC71      12        非        211121113115
靠        kao       tfkd      MBJK      9760      BFBF      15        非        312125121112111
靡        mi        yssd      TGFK      9761      C3D2      19        非        4131234123421112111
面        mian      dmjd      GJKD      9762      C3E6      9         面        132522111
靣        mian      dlkf      GJJ       9763      EC72      8         面        13252511
靤        bao       dmjn      GJKR      9764      EC73      14        面        13252211135515
靥        ye        dddl      GGJK      9765      D8CC      15        面        131344132522111
靦        tian      dmjq      GJKL      9766      EC74      16        面        1325221112511135
靧        hui       dmjm      GJAL      9767      EC75      21        面        132522111251212511134
靨        ye        dddl      GGJK      9768      EC76      23        面        13251125111344132522111
革        ge        afj       EE        9769      B8EF      9         革        122125112
靪        ding      afsh      EEAI      976A      EC77      11        革        12212511212
靫        cha       afcy      EEXS      976B      EC78      12        革        122125112544
靬        qian      affh      EEAE      976C      EC79      12        革        122125112112
靭        ren       afvy      EEYS      976D      EC7A      12        革        122125112534
靮        di        afqy      EERS      976E      EC7B      12        革        122125112354
靯        du        affg      EEB       976F      EC7C      12        革        122125112121
靰        wu        afgq      EEGR      9770      EC7D      12        革        122125112135
靱        ren       afvy      EEYS      9771      EC7E      12        革        122125112534
靲        qin       afwn      EESX      9772      EC80      13        革        1221251123445
靳        jin       afrh      EEPD      9773      BDF9      13        革        1221251123312
靴        xue       afwx      EENR      9774      D1A5      13        革        1221251123235
靵        niu       afnf      EEXE      9775      EC81      13        革        1221251125211
靶        ba        afcn      EEYI      9776      B0D0      13        革        1221251125215
靷        yin       afxh      EEYI      9777      EC82      13        革        1221251125152
靸        sa        afey      EEMS      9778      EC83      12        革        122125112354
靹        na        afmw      EELO      9779      EC84      13        革        1221251122534
靺        wa        afgs      EEAF      977A      EC85      14        革        12212511211234
靻        zu        afeg      EELC      977B      EC86      14        革        12212511225111
靼        da        afjg      EEKA      977C      F7B0      14        革        12212511225111
靽        ban       afuf      EEUB      977D      EC87      14        革        12212511243112
靾        yi        afan      EEEZ      977E      EC88      14        革        12212511212215
靿        yao       afxl      EEZY      977F      EC89      14        革        12212511255453
鞀        tao       afvk      EEYJ      9780      EC8A      14        革        12212511253251
鞁        bi        afhc      EEXI      9781      EC8B      14        革        12212511253254
鞂        jie       afty      EEMF      9782      EC8C      14        革        12212511231234
鞃        hong      afxc      EEYZ      9783      EC8D      14        革        12212511251554
鞄        pao       afqn      EERY      9784      EC8E      14        革        12212511235515
鞅        yang      afmd      EELG      9785      F7B1      14        革        12212511225134
鞆        bing      afgw      EELO      9786      EC8F      14        革        12212511212534
鞇        yin       afld      EEJD      9787      EC90      15        革        122125112251341
鞈        ta        afwk      EEAJ      9788      EC91      15        革        122125112341251
鞉        tao       afiq      EEVR      9789      EC92      15        革        122125112341534
鞊        jie       affk      EEBJ      978A      EC93      15        革        122125112121251
鞋        xie       afff      EEBB      978B      D0AC      15        革        122125112121121
鞌        an        pvaf      WDZE      978C      EC94      15        革        445531122125112
鞍        an        afpv      EEWZ      978D      B0B0      15        革        122125112445531
鞎        hen       afve      EEXO      978E      EC95      15        革        122125112511534
鞏        gong      amgf      BIQE      978F      EC96      15        革        121354122125112
鞐        qia       afhh      EEBI      9790      EC97      15        革        122125112211124
鞑        da        afdp      EEWG      9791      F7B2      15        革        122125112134454
鞒        qiao      aftj      EEGN      9792      F7B3      15        革        122125112313432
鞓        ting      afkg      EEJC      9793      EC98      16        革        1221251122511121
鞔        man       afqq      EEJR      9794      F7B4      16        革        1221251123525135
鞕        ying      afgq      EEKO      9795      EC99      16        革        1221251121251134
鞖        sui       afev      EEPZ      9796      EC9A      16        革        1221251123443531
鞗        tiao      whtf      NIRE      9797      EC9B      15        革        322354122125112
鞘        qiao      afie      EEKQ      9798      C7CA      16        革        1221251122432511
鞙        xuan      afke      EEJQ      9799      EC9C      16        革        1221251122512511
鞚        kong      afpa      EEWB      979A      EC9D      17        革        12212511244534121
鞛        beng      afuk      EESJ      979B      EC9E      17        革        12212511241431251
鞜        ta        afij      EEKK      979C      EC9F      17        革        12212511225342511
鞝        zhang     afik      EEKL      979D      ECA0      17        革        12212511224325251
鞞        pi        afrf      EENE      979E      ED40      17        革        12212511232511312
鞟        kuo       afyb      EEJY      979F      ED41      17        革        12212511241251521
鞠        ju        afqo      EERU      97A0      BECF      17        革        12212511235431234
鞡        la        afru      EEDS      97A1      ED42      17        革        12212511212141431
鞢        zha       afas      EEZF      97A2      ED43      18        革        122125112122151234
鞣        rou       afcs      EEMF      97A3      F7B7      18        革        122125112545231234
鞤        bang      ffff      BBDE      97A4      ED44      18        革        121121124122125112
鞥        eng       afwa      EEJE      97A5      ED45      18        革        122125112341251132
鞦        qiu       afto      EEMU      97A6      ED46      18        革        122125112312344334
鞧        qiu       afug      EEUF      97A7      ED47      18        革        122125112431253511
鞨        she       afjn      EEKR      97A8      ED48      18        革        122125112251135345
鞩        shao      afij      EEQK      97A9      ED49      18        革        122125112243251122
鞪        mu        cbtf      XSME      97AA      ED4A      18        革        545233134122125112
鞫        ju        afqy      EERS      97AB      F7B6      18        革        122125112354111251
鞬        jian      afvp      EEXB      97AC      ED4B      17        革        12212511251111254
鞭        bian      afwq      EEKO      97AD      B1DE      18        革        122125112321251134
鞮        di        afjh      EEAI      97AE      ED4C      18        革        122125112251112134
鞯        jian      afab      EEIY      97AF      F7B5      18        革        122125112122132521
鞰        on        afjl      EEKL      97B0      ED4D      18        革        122125112251125221
鞱        tao       afev      EEPN      97B1      ED4E      19        革        1221251123443321511
鞲        gou       afff      EELB      97B2      F7B8      19        革        1221251121122125211
鞳        ta        afak      EEAJ      97B3      ED4F      18        革        122125112122341251
鞴        bei       afae      EEML      97B4      F7B9      19        革        1221251121221325112
